Algo,Accuracy,
Neural,77.14,"
"
Neural,78.05,"
"
Neural,76.45,"
"
Neural,77.85,"
"
Neural,78.2,"
"
Neural,76.24,"
"
Neural,76.92,"
"
Neural,75.73,"
"
Neural,63.41,"
"
Neural,77.59,"
"
Neural,75.59,"
"
Neural,77.9,"
"
Neural,74.37,"
"
Neural,76,"
"
Neural,77.24,"
"
Neural,76.6,"
"
Neural,75.65,"
"
Neural,78.08,"
"
Neural,77.23,"
"
Neural,77.34,"
"
Neural,76.55,"
"
Neural,76.27,"
"
Neural,77.27,"
"
Neural,78.08,"
"
Neural,77.24,"
"
Neural,78.1,"
"
Neural,77.85,"
"
Neural,77.66,"
"
Neural,76.97,"
"
Neural,78.92,"
"
Neural,77.98,"
"
Neural,78.22,"
"
Neural,76.98,"
"
Neural,76.79,"
"
Neural,78.04,"
"
Neural,77.69,"
"
Neural,77.46,"
"
Neural,77.33,"
"
Neural,76.74,"
"
Neural,77.16,"
"
Logistic,76.48,"
"
Logistic,76.82,"
"
Logistic,76.23,"
"
Logistic,76.78,"
"
Logistic,76.61,"
"
Logistic,76.26,"
"
Logistic,76.61,"
"
Logistic,75.92,"
"
Logistic,76.19,"
"
Logistic,77.31,"
"
Logistic,76.11,"
"
Logistic,76.91,"
"
Logistic,75.26,"
"
Logistic,76.4,"
"
Logistic,76.35,"
"
Logistic,76.67,"
"
Logistic,76.55,"
"
Logistic,77.05,"
"
Logistic,76.35,"
"
Logistic,75.99,"
"
Logistic,76.4,"
"
Logistic,76.09,"
"
Logistic,75.94,"
"
Logistic,77.17,"
"
Logistic,76.66,"
"
Logistic,76.8,"
"
Logistic,76.89,"
"
Logistic,77.08,"
"
Logistic,76.47,"
"
Logistic,77.26,"
"
Logistic,76.86,"
"
Logistic,76.75,"
"
Logistic,76.9,"
"
Logistic,76.26,"
"
Logistic,76.62,"
"
Logistic,76.76,"
"
Logistic,76.41,"
"
Logistic,76.47,"
"
Logistic,75.74,"
"
Logistic,76.56,"
"
Bayes,73.58,"
"
Bayes,74.58,"
"
Bayes,73.84,"
"
Bayes,74.67,"
"
Bayes,73.64,"
"
Bayes,73.98,"
"
Bayes,74.48,"
"
Bayes,73.45,"
"
Bayes,73.74,"
"
Bayes,74.61,"
"
Bayes,73.66,"
"
Bayes,74.29,"
"
Bayes,73.46,"
"
Bayes,74.18,"
"
Bayes,73.69,"
"
Bayes,74.38,"
"
Bayes,74.55,"
"
Bayes,74.64,"
"
Bayes,74.45,"
"
Bayes,73.68,"
"
Bayes,74.04,"
"
Bayes,73.93,"
"
Bayes,73.21,"
"
Bayes,74.82,"
"
Bayes,74.84,"
"
Bayes,74.51,"
"
Bayes,74.93,"
"
Bayes,74.28,"
"
Bayes,73.33,"
"
Bayes,75.33,"
"
Bayes,74.35,"
"
Bayes,74.78,"
"
Bayes,73.9,"
"
Bayes,74.04,"
"
Bayes,74.43,"
"
Bayes,74.32,"
"
Bayes,74.3,"
"
Bayes,74.29,"
"
Bayes,74.32,"
"
Bayes,74.35,"
"
Linear,74.66,"
"
Linear,75.62,"
"
Linear,74.86,"
"
Linear,75.61,"
"
Linear,74.9,"
"
Linear,75.02,"
"
Linear,75.14,"
"
Linear,74.46,"
"
Linear,74.98,"
"
Linear,75.65,"
"
Linear,74.78,"
"
Linear,75.63,"
"
Linear,74.61,"
"
Linear,74.6,"
"
Linear,74.99,"
"
Linear,75.44,"
"
Linear,75.14,"
"
Linear,75.43,"
"
Linear,75.34,"
"
Linear,74.81,"
"
Linear,75.05,"
"
Linear,74.92,"
"
Linear,74.5,"
"
Linear,75.84,"
"
Linear,76,"
"
Linear,75.37,"
"
Linear,75.53,"
"
Linear,75.07,"
"
Linear,75.07,"
"
Linear,75.76,"
"
Linear,75.65,"
"
Linear,76.13,"
"
Linear,75.41,"
"
Linear,75.03,"
"
Linear,75.35,"
"
Linear,75.35,"
"
Linear,75.11,"
"
Linear,75.6,"
"
Linear,75.04,"
"
Linear,75.2,"
"
